ability;способность
conduct;сопровождать
confidence;вера
confident;уверенный
confuse;смешивать
confused;смущенный
congratulate;поздравлять
congratulations;поздравление
connect;соединять
connection;связь
consider;рассматривать
consist;состоять
constantly;непрерывно
consult;советоваться
contact;контакт
contain;содержать
container;контейнер
content;содержимое
contents;содержимое
continue;продолжать
contrast;различие
contribute;способствовать
control;контроль
convenient;удобный
conversation;разговор
convince;убеждать
convinced;убежденный
convincing;убедительный
cook;готовить
cool;прохладный
cope;справиться
copy;копия
copy;копировать
corner;угол
correct;правильный
correction;исправление
cost;цена
cost;стоить
cough;кашлять
count;считать
country;страна
couple;пара
course;курс
cover;крышка
cover;накрывать
crash;грохот
crash;рушиться
crazy;ненормальный
create;создавать
creature;создание
crime;преступление
crisis;кризис
criticism;критика
criticize;критиковать
cross;крест
crowd;толпа
crowded;переполненный
cruel;жестокий
cruelty;жестокость
cry;плач
cry;плакать
culture;культура
curious;любопытный
custom;обычай
cut;резать
damage;вред
damp;влажный
dance;танец
danger;опасность
dangerous;опасный
dare;осмеливаться
dark;темный
date;дата
day;день
dead;мертвый
deaf;глухой
deal;сделка
dear;дорогой
debt;долг
decide;решать
decision;решение
declaration;декларация
declare;заявлять
deep;глубокий
defend;защищать
definite;ясный
degree;степень
deliberate;намеренный
deliberately;сознательно
delicate;нежный
delight;удовлетворение
deliver;доставлять
demand;требовать
demonstrate;показывать
depend;зависеть
describe;описывать
description;описание
deserve;заслуживать
design;проект
desperate;безнадежный
destroy;разрушать
detail;деталь
determined;решительный
develop;развивать
development;развитие
die;умереть
difference;разница
different;различный
difficult;трудный
difficulty;трудность
dig;копать
dinner;обед
direct;прямой
direction;направление
disagree;противоречить
disappear;исчезать
disappointed;разочарованный
disapprove;осуждать
discover;обнаруживать
discovery;открытие
discuss;обсуждать
discussion;дискуссия
disgusting;противный
dish;блюдо
display;показ
distance;расстояние
distant;дальний
disturb;беспокоить
disturbing;беспокоящий
divide;отделять
division;деление
do;делать
doctor;врач
door;дверь
doubt;сомнение
down;вниз
draw;рисовать
drawing;рисунок
dream;мечта
dress;одежда
drink;пить
drive;езда
drop;ронять
dry;сухой
dull;скучный
duty;обязанность
each;каждый
eager;жаждущий
ear;ухо
early;ранний
earn;зарабатывать
earth;земля
easy;легкий
eat;есть
edge;кромка
education;образование
effect;результат
effort;усилие
either;любой
else;еще
embarrassed;смущенный
embarrassing;стеснительный
emotion;чувство
emphasis;важность
emphasize;подчеркивать
empty;пустой
encourage;поощрять
end;конец
enemy;враг
energy;энергия
enjoy;наслаждаться
enjoyable;приятный
enough;достаточно
enter;входить
entertainment;развлечение
enthusiastic;восторженный
entrance;вход
entry;вход
environment;окружение
equal;равный
equipment;оборудование
error;ошибка
escape;убегать
especially;особенно
estimate;оценка
even;даже
evening;вечер
event;событие
ever;всегда
every;каждый
everything;всё
everywhere;везде
evidence;доказательство
exact;точный
exactly;точно
exaggerate;преувеличивать
exam;экзамен
example;пример
excellent;отличный
except;исключая
exchange;обмен
excited;взволнованный
exciting;возбуждающий
excuse;извинение
exercise;упражнение
exhibition;выставка
exist;существовать
exit;выход
expect;ожидать
expensive;дорогой
experience;опыт,опытработы
experiment;опыт
explain;объяснять
explanation;пояснение
expression;выражение
extra;добавочный
extraordinary;необычный
extremely;чрезвычайно
eye;глаз
face;лицо
factory;завод
failure;неспособность
fair;честный
fairly;довольно
fall;падение
false;неверный
familiar;привычный
family;семья
famous;знаменитый
far;далеко
fashion;мода
fast;быстрый
fasten;прикреплять
fat;толстый
father;отец
fault;недостаток
favour;одолжение
favourite;любимый
fear;боязнь
fear;бояться
feature;особенность
feed;кормить
feel;чувствовать
feeling;ощущение
female;самка
fence;забор
fetch;принести
few;мало
field;поле
fierce;свирепый
fight;драться
figure;цифра
file;папка
fill;наполнять
film;фильм
final;завершающий
finally;наконец
find;находить
fine;превосходный
finger;палец
finish;заканчивать
fire;огонь
firm;твердый
first;первый
fit;подходить
fix;ремонтировать
flat;плоский
flavour;вкус
flight;полет
float;плавать
flood;заливать
floor;пол
flow;течь
fly;летать
fold;загибать
follow;следовать
fond;нежный
foot;ступня
for;для
force;сила
foreign;иностранный
forever;навсегда
forget;забывать
forgive;прощать
fork;вилка
form;форма
formal;официальный
fortunate;счастливый
forward;вперед
frame;рама
free;свободный
freedom;свобода
freeze;замораживать
frequent;частый
fresh;свежий
friend;друг
friendly;дружественный
frighten;пугать
frightened;испуганный
from;от
full;полный
fun;шутка
funny;забавный
furniture;мебель
further;дальше
future;будущее
game;игра
gap;щель
gas;газ
gate;ворота
gather;собирать
general;главный
generally;обычно
generous;щедрый
gentle;ласковый
genuine;истинный
get;получить
gift;подарок
give;давать
glad;довольный
glass;стекло
go;идти
good;хороший
government;правительство
grade;степень
gradually;постепенно
grand;большой
grateful;благодарный
great;большой
greeting;приветствие
ground;земля
group;группа
grow;расти
guard;охрана
guess;предположение
guide;вести
guilty;виновный
habit;обычай
hair;волосы
half;половина
hand;рука
handle;управлять
hang;вешать
happen;случаться
happy;счастливый
hard;жесткий
harm;вред
hate;ненавидеть
he;он
have;иметь
head;голова
health;здоровье
healthy;здоровый
hear;слышать
heart;сердце
heat;жара
heavy;тяжелый
height;высота
hello;привет
help;помогать
her;ее
here;здесь
hers;ее
herself;сама
hide;прятать
high;высокий
him;ему
himself;сам
his;его
history;история
hit;попдание
hold;дежрать
hole;дыра
holiday;праздник
hollow;пустой
home;дом
honest;честный
hope;надежда
hope;надеяться
hospital;больница
hot;горячий
hour;час
house;дом
how;как
however;однако
human;людской
hungry;голодный
hurry;суета
hurry;торопить
hurt;ранить
i;я
idea;идея
identify;опознавать
if;если
ignore;игнорировать
ill;больной
illness;болезнь
image;образ
imagination;воображение
imagine;воображать
immediate;немедленный
immediately;немедленно
impatient;нетерпеливый
importance;важность
important;важный
impossible;невозможный
impressed;пораженный
impression;впечатление
impressive;впечатляющий
improve;улучшать
improvement;улучшение
in;в
in;внутри
include;заключать
increase;возрастание
increase;возрастать
indeed;действительно
independent;независимый
influence;влияние
influence;влиять
inform;сообщать
information;информация
injury;вред
innocent;невинный
inquire;осведомляться
inside;внутренний
insist;настаивать
instant;мгновенный
instead;вместо
instruction;инструкция
instrument;инструмент
intelligent;сообразительный
intend;планировать
interest;интерес
interested;заинтересованный
interesting;интересный
interfere;вмешиваться
interrupt;прерывать
interruption;перерыв
interview;интервью
into;в
introduce;знакомить
introduction;введение
invitation;приглашение
invite;приглашать
involve;вовлекать
issue;вопрос
it;это
its;его
itself;себя
job;работа
join;соединять
joke;шутка
joke;шутить
journey;путешествие
judge;судья
juice;сок
jump;прыгать
just;точно
justice;справедливость
keen;острый
keep;держать
key;ключ
kick;пинать
kill;убивать
kind;сорт
kind;добрый
knock;ударять
know;знать
knowledge;знание
label;ярлык
land;земля
language;язык
large;большой
last;последний
late;поздний
later;позже
laugh;смех
laugh;смеяться
law;закон
lay;класть
lead;преимущество
lean;наклонять
learn;учиться
least;наименьший
leave;покидать
left;левый
leg;нога
legal;легальный
lend;одалживать
length;длина
less;меньше
lesson;урок
let;позволять
letter;письмо
level;уровень
lie;лежать
life;жизнь
lift;поднимать
light;свет
like;любить
likely;вероятный
limit;граница
line;линия
list;список
listen;слушать
little;маленький
live;жить
load;груз
loan;заем
lock;замок
lock;блокировать
lonely;одинокий
long;длинный
long;долго
look;смотреть
loose;свободный
lose;терять
loss;потеря
lost;разрушенный
lot;много
loud;громкий
love;любовь
low;низкий
lower;нижний
luck;везение
lucky;счастливый
lunch;обед
machine;машина,механизм
mad;сумасшедший
mail;почта
main;главный
mainly;преимущественно
maintain;поддерживать
major;больший
majority;большинство
make;делать
male;мужской
man;человек
manage;руководить
manner;манера
many;много
march;маршировать
mark;знак
mark;отмечать
market;рынок
married;женатый
marry;жениться
mass;масса
match;спичка
material;материал
matter;дело
matter;значить
maximum;максимальный
may;мочь
me;мне
meal;еда
mean;неприятный
meaning;значение
means;средство
measure;мера
measure;измерять
medium;средний
meet;встречать
meeting;встреча
memory;память
mend;чинить
mention;упоминать
mess;беспорядок
message;сообщение
method;метод
middle;середина
middle;средний
might;мочь
mind;возражать
mine;мой
minimum;минимум
minor;незначительный
minority;меньшинство
minute;минута
miss;промах
mistake;ошибка
mix;смешивать
mixture;смешивание
model;модель
modern;современный
moment;момент
money;деньги
month;месяц
mood;настроение
moon;луна
moral;моральный,нравственный
more;больше
morning;утро
mother;мама
motion;движение
mouth;рот
move;движение
movement;передвижение
much;много
murder;убийство
muscle;мышца
music;музыка
must;должен
my;мой
myself;себе
mysterious;таинственный
mystery;тайна
name;имя
narrow;узкий
national;национальный
natural;естественный
naturally;естественно
nature;природа
near;близко
nearly;почти
neat;аккуратный
necessary;необходимый
neck;шея
need;нуждаться
needle;игла
negative;отрицательный
nerve;нерв
nervous;нервный
never;никогда
new;новый
news;новость
next;следующий
nice;хороший
night;ночь
no;нет
noise;шум
noisy;шумный
none;никакой
nonsense;абсурд
noone;никто
normal;нормальный
nose;нос
not;не
note;записка
nothing;ничего
notice;объявление
now;сейчас
nowhere;нигде
number;число
nurse;медсестра
object;предмет
objection;возражение
obtain;получать
obvious;очевидный
occasion;случай
occasional;случайный
occur;происходить
ocean;океан
odd;странный
of;от
off;выключенный
offence;нарушение
offend;обижать
offer;предложение
office;офис
official;официальный
often;часто
oil;нефть
ok;хорошо
old;старый
on;включенный
once;раз
one;один
only;только
only;единственный
onto;на
open;открытый
operate;действовать
operation;операция
opinion;мнение
opponent;противник
opposite;противоположный
or;или
order;порядок
ordinary;обычный
organization;организация
organize;организовывать
original;начальный
other;другой
otherwise;иначе
our;наш
ourselves;сами
out;вне
outside;снаружи
over;над
over;свыше
own;свой
pain;боль
pair;пара
paper;бумага
part;доля
part;расставаться
partner;партнер
party;вечеринка
pass;проходить
passage;проход
passenger;пассажир
past;прошлое
past;прошлый
past;мимо
path;тропинка
patience;терпение
patient;терпеливый
pattern;модель
pause;пауза
pause;останавливаться
pay;платить
payment;платеж
peace;мир
peaceful;мирный
pen;ручка
pencil;карандаш
people;люди
perfect;совершенный
perform;выполнять
performance;выступление
perhaps;возможно
period;период
permission;позволение
person;человек
personal;личный
persuade;убеждать
petrol;бензин
phone;телефон
physical;физический
pick;выбирать
picture;картина
piece;кусок
pile;куча
pin;кнопка
pinch;щипать
pipe;труба
pity;жалость
place;пространство
plain;чистый
plan;план
plant;растение
plastic;пластик
plate;тарелка
platform;платформа
play;играть
pleasant;приятный
please;пожалуйста
please;радовать
pleased;довольный
pleasure;удовольствие
plenty;множество
plenty;вполне
pocket;карман
point;точка
poison;яд
police;полиция
polite;вежливый
politics;политика
pollution;загрязнение
pool;бассейн
poor;бедный
popular;популярный
port;порт
position;положение
positive;уверенный
possession;владение
possibility;вероятность
possible;вероятный
possibly;возможно
post;почта
pot;горшок
pour;лить
power;сила
powerful;сильный
practical;практический
practice;практика
practise;практиковать
praise;хвалить
precise;точный
prefer;предпочитать
preparation;подготовка
prepare;готовить
present;подарок
press;пресса
pressure;давление
pretend;притворяться
pretty;хорошенький
prevent;предотвращать
previous;предыдущий
price;цена
pride;гордость
principle;принцип
print;печатать
priority;преимущество
private;частный
prize;приз
probably;вероятно
problem;проблема
process;процесс
produce;производить
production;изготовление
professional;профессиональный
profit;прибыль
programme;программа
progress;прогресс
project;проект
promise;обещание
pronounce;произносить
pronunciation;произношение
proof;подтверждение
proper;присущий
properly;надлежаще
protect;защищать
protection;охрана
protest;протест
proud;гордый
prove;доказывать
provide;снабжать
public;общественный
pull;тянуть
pump;качать
punish;наказывать
punishment;кара
pupil;ученик
pure;чистый
purpose;цель
push;толкать
put;класть
quality;качество
quantity;количество
quarter;четверть
question;вопрос
quick;быстрый
quickly;быстро
quiet;тихий
quite;совершенно
race;гонка
radio;радио
rain;дождь
rain;идти
raise;поднимать
range;ряд
rank;звание
rare;редкий
rarely;нечасто
rate;показатель
rather;достаточно
raw;сырой
reach;протягивать
react;реагировать
reaction;реакция
read;читать
ready;готовый
real;реальный
realize;понимать
really;действительно
reason;причина
reasonable;разумный
receive;получать
recent;недавний
recently;недавно
recognize;признавать
recommend;рекомендовать
record;запись
recover;выздоравливать
recovery;восстановление
reduce;понижать
reduction;сокращение
refer;упоминать
refuse;отказать
regard;внимание
region;область
regional;региональный
regret;сожалеть
regular;регулярный
regularly;регулярно
reject;отклонять
related;связанный
relation;связь
relationship;родство
relative;родственник
relax;расслабляться
release;освобождать
reliable;надежный
relief;облегчение
rely;полагаться
remain;оставаться
remark;замечание
remember;помнить
remove;перемещать
repair;ремонтировать
repeat;повторять
replace;заменять
reply;отвечать
reply;ответ
report;доклад
represent;представлять
rescue;спасать
reserve;резервировать
respect;уважение
responsibility;ответственность
responsible;ответственный
rest;отдых
result;результат
return;возвращаться
rich;богатый
rid;освобождать
ride;ехать
right;право
ring;кольцо
rise;подниматься
risk;риск
road;дорога
rob;грабить
roll;катить
roof;крыша
room;комната
rough;грубый
round;круглый
round;вокруг
row;ряд
rub;тереть
rubbish;мусор
rule;правило
run;бег
run;бежать
runaway;убежать
rush;спешка
sad;грустный
safe;безопасный
safety;безопасность
sail;плавать
sale;продажа
same;одинаковый
satisfactory;удовлетворительный
satisfied;довольный
save;спасать
say;сказать
scale;вес
scare;пугать
scared;испуганный
scene;сцена
schedule;список
scheme;проект
school;школа
science;наука
score;счет
score;выигрывать
scrap;клочок
scrape;скоблить
scream;кричать
sea;море
search;поиск
season;сезон
seat;сиденье
second;второй
secret;секрет
section;секция
see;видеть
seem;казаться
sell;продавать
send;посылать
sense;чувство
sensible;благоразумный
sensitive;чувствительный
sentence;предложение
separate;отдельный
separate;разделять
serious;серьезный
seriously;серьезно
serve;подавать
service;служба
set;набор
settle;поселить
several;несколько
shade;полумрак
shadow;тень
shake;трясти
shall;следует
shallow;мелкий
shame;стыд
shape;форма
sharp;острый
she;она
shelter;приют
shine;сиять
shock;удар
shoot;стрелять
shop;магазин
short;короткий
shoulder;плечо
shout;крик
show;показывать
shrink;уменьшать
shut;закрывать
sick;больной
side;сторона
sight;вид
sign;знак
silent;молчаливый
similar;похожий
simple;простой
sing;петь
single;единственный
sink;тонуть
sink;раковина
sister;сестра
sit;сидеть
situation;положение
size;размер
skill;умение
skin;кожа
skirt;юбка
sky;небеса
sleep;спать
slice;ломтик
slide;скользить
slight;легкий
slightly;незначительно
slip;поскользнуться
slow;медленный
slowly;медленно
small;маленький
smart;нарядный
smell;пахнуть
smile;улыбаться
smoke;дым
smooth;гладкий
snow;снег
so;итак
soak;впитывать
soft;мягкий
soil;грунт
solve;решать
some;несколько
somebody;кто-нибудь
somehow;как-нибудь
someone;кто-то
something;кое-что
sometimes;иногда
somewhere;где-нибудь
song;песня
soon;скоро
sore;боль
sorry;огорченный
sort;вид
sound;звук
space;пространство
spare;запасной
speak;говорить
special;особый
speech;речь
speed;скорость
spend;тратить
spill;проливать
spin;крутить
spite;злость
splash;брызгать
split;раскалывать
spoil;портить
sport;спорт
spot;место
spray;брызгать
spread;распространять
spring;весна
square;квадрат
squash;раздавливать
squeeze;выжимать
stage;ступень
stamp;марка
stand;стоять
standard;стандарт
star;звезда
stare;вглядываться
start;начало
start;начинать
state;состояние
statement;заявление
stay;оставаться
steady;устойчивый
steal;воровать
steam;пар
steep;крутой
steer;направлять
step;шаг
stick;приклеивать
sticky;клейкий
stiff;жесткий
still;тихий
sting;жалить
stir;размешивать
stone;камень
stop;остановка
store;магазин
storm;шторм
story;рассказ
straight;прямой
strange;странный
stranger;незнакомец
street;улица
strength;сила
stretch;тянуть
strict;строгий
strike;ударять
string;веревка
strong;сильный
study;изучать
stupid;глупый
style;стиль
subject;предмет
substance;вещество
succeed;удаваться
success;успех
successful;удачный
such;такой
sudden;внезапный
suddenly;вдруг
suffer;страдать
suggest;предлагать
suggestion;предложение
suit;костюм
suit;подходить
summer;лето
supply;поставка
support;поддерживать
suppose;допускать
sure;уверенный
surface;поверхность
surprise;сюрприз
surprised;удивленный
surprising;неожиданный
survive;пережить
swallow;глотать
sweep;мести
sweet;сладкий
swim;плавать
swimming;плавание
swing;качать
switch;выключатель
system;система
table;стол
take;брать
talk;разговор
tall;высокий
tap;стучать
tape;лента
target;цель
task;задание
taste;вкус
tax;налог
teach;преподавать
team;команда
tear;рвать
telephone;телефон
television;телевизор
tell;говорить
temper;характер
temperature;температура
tend;стремиться
tense;возбужденный
term;срок
terrible;страшный
test;тест
than;чем
thank;благодарить
thanks;спасибо
thankyou;спасибо
that;тот
their;их
them;им
themselves;себя
then;затем
there;там
they;они
thick;толстый
thin;тонкий
thing;вещь
think;думать
this;этот
thorough;тщательный
though;хотя
thought;мысль
threaten;угрожать
through;через
through;свободный
throughout;повсюду
throw;бросать
ticket;билет
tidy;аккуратный
tie;связывать
tight;тесный
time;время
tip;кончик
tired;усталый
today;сегодня
together;вместе
tomorrow;завтра
tone;тон
tongue;язык
too;слишком
tool;инструмент
tooth;зуб
top;верхушка
total;всеобщий
touch;прикосновение
tough;жесткий
tour;путешествие
town;город
track;тропинка
trade;торговля
tradition;традиция
traffic;движение
tragedy;несчастье
train;поезд
translate;переводить
transparent;прозрачный
transport;перевозка
trap;капкан
travel;путешествовать
tread;наступать
treat;обращаться
treatment;лечение
trial;суд
trick;обман
trick;обманывать
trip;путешествие
trip;спотыкаться
trouble;беспокойство
trousers;брюки
true;верный
trust;вера
truth;правда
try;пытаться
tune;мелодия
turn;очередь
twist;крутить
type;тип
typical;типичный
unable;неспособный
uncertain;неопределенный
uncomfortable;неудобный
under;вниз
underneath;внизу
underneath;ниже
understand;понимать
undo;развязывать
unfair;несправедливый
unfortunate;неудачливый
unhappy;несчастливый
uniform;форма
union;объединение
unit;часть
unite;соединять
university;университет
unkind;злой
unlikely;маловероятный
unlucky;несчастливый
unpleasant;неприятный
until;до
unusual;необычный
up;вверх
upon;на
upset;расстроенный
upstairs;наверху
upwards;наверх
urgent;срочный
us;нас
use;использование
used;подержанный
usual;обыкновенный
usually;обычно
valuable;ценный
value;ценность
vanish;исчезать
variety;разновидность
various;различный
very;очень
view;мнение
violence;жестокость
violent;насильственный
vision;зрение
visit;навещать
voice;голос
vote;голосование
wait;ждать
wake;просыпаться
walk;прогулка
wall;стена
wander;бродить
want;хотеть
war;война
warm;теплый
warn;предупреждать
warning;предупреждение
wash;мыть
waste;тратить
watch;наблюдать
water;вода
wave;волна
way;дорога
we;мы
weak;слабый
wealth;богатство
wear;носить
weather;погода
week;неделя
weekend;уикэнд
weigh;весить
welcome;приветствовать
well;хорошо
wet;мокрый
what;что
wheel;колесо
when;когда
where;откуда
whether;или
which;который
while;пока
whisper;шептать
whistle;свистеть
who;кто
whoever;любой
whole;весь
whom;кого
why;почему
wide;широкий
wild;дикий
will;завещание
willing;готовый
win;победить
wind;ветер
window;окно
wing;крыло
winter;зима
wipe;вытирать
wire;проволока
wise;мудрый
wish;желание
with;с
within;внутри
without;без
woman;женщина
wonder;удивляться
word;слово
work;работа
world;мир
worried;озабоченный
worry;беспокоить
worse;худший
worst;наихудший
worth;стоящий
wrap;заворачивать
write;писать
wrong;неправильный
year;год
yes;да
yesterday;вчера
yet;еще
you;ты
young;молодой
your;ваш
yours;твой
yourself;себя
zero;ноль
